data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,840,4,inf,0.9797830444565504,0.9797830444565504
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,930,4,inf,0.8989364545824293,0.8989364545824293
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,990,4,inf,0.22173905840621777,0.22173905840621777
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,920,4,inf,0.008594572028174485,0.008594572028174485
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,890,4,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,830,4,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,740,4,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,690,4,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,570,4,inf,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,success_metric,maneuverability_metric
0,0,600,4,inf,0.0,0.0
1,0,910,4,inf,0.9771874501437735,0.9771874501437735
1,0,920,4,inf,0.9135779193082373,0.9135779193082373
1,0,920,4,inf,0.44262836287312834,0.44262836287312834
1,0,940,4,inf,0.15227164108304625,0.15227164108304625
1,0,900,4,inf,0.04427185900434927,0.04427185900434927
1,0,890,4,inf,0.0,0.0
1,0,880,4,inf,0.0,0.0
1,0,800,4,inf,0.0,0.0
1,0,740,4,inf,0.0,0.0
1,0,560,4,inf,0.0,0.0
2,0,960,4,inf,0.8973747569444062,0.8973747569444062
2,0,970,4,inf,0.8346433591155029,0.8346433591155029
2,0,860,4,inf,0.9584338840724373,0.9584338840724373
2,0,930,4,inf,0.5055855744760529,0.5055855744760529
2,0,970,4,inf,0.09569585589485552,0.09569585589485552
2,0,860,4,inf,0.12012396115589141,0.12012396115589141
2,0,860,4,inf,0.0,0.0
2,0,830,4,inf,0.0,0.0
2,0,770,4,inf,0.0,0.0
2,0,720,4,inf,0.0,0.0
3,0,930,4,inf,0.9462901211084503,0.9462901211084503
3,0,890,4,inf,0.8911600556049111,0.8911600556049111
3,0,900,4,inf,0.9687633663086911,0.9687633663086911
3,0,860,4,inf,0.9741895975967538,0.9741895975967538
3,0,950,4,inf,0.9598052034016932,0.9598052034016932
3,0,970,4,inf,0.9528401877415316,0.9528401877415316
3,0,1000,4,inf,0.882963602737549,0.882963602737549
3,0,900,4,inf,0.5216116185446837,0.5216116185446837
3,0,950,4,inf,0.16125121058081193,0.16125121058081193
3,0,960,4,inf,0.09640634854287011,0.09640634854287011
4,0,910,4,inf,0.9808593010151652,0.9808593010151652
4,0,930,4,inf,0.9760721036196567,0.9760721036196567
4,0,930,4,inf,0.9846960379988032,0.9846960379988032
4,0,860,4,inf,0.96990453769502,0.96990453769502
4,0,910,4,inf,0.9463613331209557,0.9463613331209557
4,0,890,4,inf,0.8686707190080567,0.8686707190080567
4,0,960,4,inf,0.37631730729228696,0.37631730729228696
4,0,920,4,inf,0.17924000379585014,0.17924000379585014
4,0,860,4,inf,0.09607765076250419,0.09607765076250419
4,0,870,4,inf,0.0,0.0
5,0,940,4,inf,0.936676219114479,0.936676219114479
5,0,890,4,inf,0.9755629715670739,0.9755629715670739
5,0,900,4,inf,0.9755346032106994,0.9755346032106994
5,0,930,4,inf,0.9632651753407877,0.9632651753407877
5,0,900,4,inf,0.7076851878515609,0.7076851878515609
5,0,900,4,inf,0.312195174552547,0.312195174552547
5,0,900,4,inf,0.051844800414724834,0.051844800414724834
5,0,810,4,inf,0.0,0.0
5,0,810,4,inf,0.0,0.0
5,0,750,4,inf,0.0,0.0
6,0,860,4,inf,0.9857663618712695,0.9857663618712695
6,0,970,4,inf,0.9686426510143754,0.9686426510143754
6,0,920,4,inf,0.9805028538273938,0.9805028538273938
6,0,960,4,inf,0.978008297602085,0.978008297602085
6,0,820,4,inf,0.9773542146976194,0.9773542146976194
6,0,900,4,inf,0.9435314263500766,0.9435314263500766
6,0,950,4,inf,0.9456490317058243,0.9456490317058243
6,0,970,4,inf,0.8956587131862657,0.8956587131862657
6,0,930,4,inf,0.9558446095762327,0.9558446095762327
6,0,970,4,inf,0.6756081519677213,0.6756081519677213
7,0,940,4,inf,0.9657936234702423,0.9657936234702423
7,0,910,4,inf,0.9632129241559216,0.9632129241559216
7,0,940,4,inf,0.9506170514735898,0.9506170514735898
7,0,1010,4,inf,0.9420284044991332,0.9420284044991332
7,0,960,4,inf,0.9345556286628407,0.9345556286628407
7,0,940,4,inf,0.9468946769273888,0.9468946769273888
7,0,920,4,inf,0.942464922553114,0.942464922553114
7,0,910,4,inf,0.947817259383981,0.947817259383981
7,0,880,4,inf,0.9723530740660176,0.9723530740660176
7,0,1010,4,inf,0.9663354286826314,0.9663354286826314
8,0,970,4,inf,0.9725092949052547,0.9725092949052547
8,0,960,4,inf,0.9788057718159537,0.9788057718159537
8,0,900,4,inf,0.9719230617628313,0.9719230617628313
8,0,960,4,inf,0.9632906804359472,0.9632906804359472
8,0,970,4,inf,0.9686984607463349,0.9686984607463349
8,0,960,4,inf,0.9772129726840983,0.9772129726840983
8,0,930,4,inf,0.882624998230347,0.882624998230347
8,0,980,4,inf,0.616177947480945,0.616177947480945
8,0,930,4,inf,0.33273110015321905,0.33273110015321905
8,0,870,4,inf,0.0463278039873376,0.0463278039873376
9,0,970,4,inf,0.9377833836069289,0.9377833836069289
9,0,890,4,inf,0.9948607016140452,0.9948607016140452
9,0,970,4,inf,0.9185623108463945,0.9185623108463945
9,0,910,4,inf,0.9693635030144219,0.9693635030144219
9,0,1020,4,inf,0.9513608952785042,0.9513608952785042
