data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score
0,0,500,10000,inf,0.0,0.0,None,0.0
1,0,500,10000,inf,1.0,0.0,None,0.0
data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score
0,0,500,10000,inf,0.0,0.0,None,0.0
1,0,500,10000,inf,1.0,0.0,None,0.0
2,0,500,10000,inf,1.0,0.0,None,0.0
3,0,500,10000,inf,1.0,0.0,None,0.0
4,0,500,10000,inf,1.0,0.0,None,0.0
5,0,500,10000,inf,1.0,0.0,None,0.0
6,0,500,10000,inf,1.0,0.0,None,0.0
7,0,500,10000,inf,1.0,0.0,None,0.0
8,0,500,10000,inf,1.0,0.0,None,0.0
9,0,500,10000,inf,1.0,0.0,None,0.0
10,0,500,10000,inf,0.0,0.0,None,0.0
11,0,500,10000,inf,0.0,0.0,None,0.0
12,0,500,10000,inf,1.0,0.0,None,0.0
13,0,500,10000,inf,1.0,0.0,None,0.0
14,0,500,10000,inf,1.0,0.0,None,0.0
15,0,500,10000,inf,1.0,0.0,None,0.0
16,0,500,10000,inf,0.0,0.0,None,0.0
17,0,500,10000,inf,0.0,0.0,None,0.0
18,0,500,10000,inf,0.0,0.0,None,0.0
19,0,500,10000,inf,0.0,0.0,None,0.0
data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score
0,0,500,10000,inf,0.0,0.0,0.0,0.0
1,0,500,10000,inf,1.0,0.0,0.0,0.0
2,0,500,10000,inf,1.0,0.0,0.0,0.0
3,0,500,10000,inf,1.0,0.0,0.0,0.0
4,0,500,10000,inf,1.0,0.0,0.0,0.0
5,0,500,10000,inf,1.0,0.0,1.0,0.0
6,0,500,10000,inf,1.0,0.0,1.0,0.0
7,0,500,10000,inf,1.0,0.0,1.0,0.0
8,0,500,10000,inf,1.0,0.0,1.0,0.0
9,0,500,10000,inf,1.0,0.0,1.0,0.0
10,0,500,10000,inf,0.0,0.0,0.0,0.0
11,0,500,10000,inf,0.0,0.0,0.0,0.0
12,0,500,10000,inf,1.0,0.0,0.0,0.0
13,0,500,10000,inf,1.0,0.0,0.0,0.0
14,0,500,10000,inf,1.0,0.0,0.0,0.0
15,0,500,10000,inf,1.0,0.0,0.0,0.0
16,0,500,10000,inf,0.0,0.0,0.0,0.0
17,0,500,10000,inf,0.0,0.0,0.0,0.0
18,0,500,10000,inf,0.0,0.0,0.0,0.0
19,0,500,10000,inf,0.0,0.0,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score
0,0,500,10000,inf,0.0,0.0,0.0,0.0
1,0,500,10000,inf,1.0,0.0,0.0,0.0
2,0,500,10000,inf,1.0,0.0,0.0,0.0
3,0,500,10000,inf,1.0,0.0,0.0,0.0
4,0,500,10000,inf,1.0,0.0,0.0,0.0
5,0,500,10000,inf,1.0,0.0,1.0,0.0
6,0,500,10000,inf,1.0,0.0,1.0,0.0
7,0,500,10000,inf,1.0,0.0,1.0,0.0
8,0,500,10000,inf,1.0,0.0,1.0,0.0
9,0,500,10000,inf,1.0,0.0,1.0,0.0
10,0,500,10000,inf,0.0,0.0,0.0,0.0
11,0,500,10000,inf,0.0,0.0,0.0,0.0
12,0,500,10000,inf,1.0,0.0,0.0,0.0
13,0,500,10000,inf,1.0,0.0,0.0,0.0
14,0,500,10000,inf,1.0,0.0,0.0,0.0
15,0,500,10000,inf,1.0,0.0,0.0,0.0
16,0,500,10000,inf,0.0,0.0,0.0,0.0
17,0,500,10000,inf,0.0,0.0,0.0,0.0
18,0,500,10000,inf,0.0,0.0,0.0,0.0
19,0,500,10000,inf,0.0,0.0,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score
0,0,500,10000,inf,0.0,0.0,0.0,0.0
1,0,500,10000,inf,1.0,0.0,0.0,0.0
2,0,500,10000,inf,1.0,0.0,0.0,0.0
3,0,500,10000,inf,1.0,0.0,0.0,0.0
4,0,500,10000,inf,1.0,0.0,0.0,0.0
5,0,500,10000,inf,1.0,0.0,1.0,0.0
6,0,500,10000,inf,1.0,0.0,1.0,0.0
7,0,500,10000,inf,1.0,0.0,1.0,0.0
8,0,500,10000,inf,1.0,0.0,1.0,0.0
9,0,500,10000,inf,1.0,0.0,1.0,0.0
10,0,500,10000,inf,0.0,0.0,0.0,0.0
11,0,500,10000,inf,0.0,0.0,0.0,0.0
12,0,500,10000,inf,1.0,0.0,0.0,0.0
13,0,500,10000,inf,1.0,0.0,0.0,0.0
14,0,500,10000,inf,1.0,0.0,0.0,0.0
15,0,500,10000,inf,1.0,0.0,0.0,0.0
16,0,500,10000,inf,0.0,0.0,0.0,0.0
17,0,500,10000,inf,0.0,0.0,0.0,0.0
18,0,500,10000,inf,0.0,0.0,0.0,0.0
19,0,500,10000,inf,0.0,0.0,0.0,0.0
data_id,trial,plan_iters,plan_time,best_cost,capture_exists_score,capture_score,success_exists_score,success_score
0,0,500,10000,inf,0.0,0.0,0.0,0.0
1,0,500,10000,inf,1.0,0.0,0.0,0.0
2,0,500,10000,inf,1.0,0.0,0.0,0.0
3,0,500,10000,inf,1.0,0.0,0.0,0.0
4,0,500,10000,inf,1.0,0.0,0.0,0.0
5,0,500,10000,inf,1.0,0.0,1.0,0.0
6,0,500,10000,inf,1.0,0.0,1.0,0.0
7,0,500,10000,inf,1.0,0.0,1.0,0.0
8,0,500,10000,inf,1.0,0.0,1.0,0.0
9,0,500,10000,inf,1.0,0.0,1.0,0.0
10,0,500,10000,inf,0.0,0.0,0.0,0.0
11,0,500,10000,inf,0.0,0.0,0.0,0.0
12,0,500,10000,inf,1.0,0.0,0.0,0.0
13,0,500,10000,inf,1.0,0.0,0.0,0.0
